,Material,Durchmesser,u_Durchmesser,[Durchmesser],Material_Boden,Bodendicke,u_Bodendicke,[Bodendicke],Abstand,u_Abstand,[Abstand],Frequenz,u_Frequenz,[Frequenz],Bemerkungen,signal,peak_pos,peak_height,peak_fwfm_height,peak_fwfm_left_pos,peak_fwfm_right_pos,peak_fwfm_width
0,Nylon,0.35,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.065,0.000289,m,283,50,Hz,,Mes,292.50689611667804,0.538754862365934,0.42070525619904864,285.7992562692886,299.71312909014983,13.91387282086123
1,Nylon,0.35,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.065,0.000289,m,283,50,Hz,,Mes,433.3810652282818,7.8054825832433385,3.911561636986814,395.3310334796451,456.3109574584726,60.979923978827514
2,Nylon,0.35,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.065,0.000289,m,283,50,Hz,,Mes,599.768490686291,7.208178437429264,4.29431939906555,579.2266876185219,625.9545440010598,46.72785638253799
3,Nylon,0.35,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.065,0.000289,m,283,50,Hz,,Mes,718.8754550290249,3.4447785809821916,1.8398053926742681,697.9479070558966,737.0677335714099,39.119826515513296
4,Nylon,0.35,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.065,0.000289,m,283,50,Hz,,Mes,802.8184506544317,0.6711194944522443,0.4260132890291488,775.7131892157149,833.0124169847152,57.299227769000254
5,Nylon,0.35,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.065,0.000289,m,283,50,Hz,,Mes,945.2321826678368,1.3426914776407426,0.6985284692357248,912.4510402864405,1000.6118727704923,88.16083248405175
6,Nylon,0.35,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.065,0.000289,m,283,50,Hz,,Mes,984.3664998872415,1.211349140801492,1.0904803182519585,977.203676486383,990.5750613801172,13.371384893734216
7,Nylon,0.35,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.065,0.000289,m,283,50,Hz,,Mes,1036.2572399625312,0.7883319469439181,0.6064254213980073,1014.1279454319681,1045.8269215591881,31.69897612722002
8,Nylon,0.35,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.065,0.000289,m,283,50,Hz,,Mes,1094.9415449969417,0.4140053828592522,0.2830508256278114,1081.2425312159123,1103.9269460722758,22.684414856363446
9,Nylon,0.35,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.065,0.000289,m,283,50,Hz,,Mes,1144.7714432332943,0.49672949822586276,0.31247305619344923,1129.4750680153197,1169.598486400131,40.1234183848112
10,Nylon,0.35,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.065,0.000289,m,283,50,Hz,,Mes,2121.0035661238176,0.27434578249334557,0.14598548527559213,2096.886446420655,2174.5868667281748,77.70042030751983
11,Nylon,0.35,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.065,0.000289,m,283,50,Hz,,Mes,8936.805582711433,0.24388769409501,0.14175553287225326,8919.010687267064,8954.980547888978,35.96986062191354
12,Nylon,0.35,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.065,0.000289,m,283,50,Hz,,Mes,10330.761963790768,0.6549212228442145,0.54692980783979,10308.84267772905,10340.386195058982,31.543517329932
13,Nylon,0.35,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.065,0.000289,m,283,50,Hz,,Mes,10390.480964131808,0.7374926188816221,0.38703281606560463,10240.48659626655,10426.325488874318,185.83889260776778
14,Nylon,0.35,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.065,0.000289,m,283,50,Hz,,Ref,401.1755471459454,1.8623008733338418,1.4998695126917196,378.2975999489778,407.72883194543044,29.431231996452652
