;Material;Durchmesser;u_Durchmesser;[Durchmesser];Abstand;u_Abstand;[Abstand];Frequenz;u_Frequenz;[Frequenz];Bemerkungen;STI;calibration_intervention;peak_index_ref;peeak_index_mes;STI_wo_ref;u_STI_wo_ref;Material_Boden;Bodendicke;u_Bodendicke;[Bodendicke];Dichte;Kraft;rel_u_STI_wo_ref;Approx_dist
0;Nylon;0.5;0.002405;mm;3.036;0.000289;m;0;50;Hz;;0.006071428571428571;;;;;;Laborbuch_Papier;0.1;0.002405;mm;0.235;0.0;;3
1;Nylon;0.5;0.002405;mm;3.036;0.000289;m;0;50;Hz;;0.6211329642463815;1.0;;;0.6072197000092241;0.042532199674322216;Laborbuch_Papier;0.1;0.002405;mm;0.235;0.0;0.07004416963691415;3
2;Nylon;0.5;0.002405;mm;1.956;0.000289;m;0;50;Hz;;0.5520286345817635;1.0;;;0.538613700410066;0.04024896680248909;Laborbuch_Papier;0.1;0.002405;mm;0.235;0.0;0.07472696437510985;2
4;Nylon;0.5;0.002405;mm;4.35;0.000289;m;513;50;Hz;;0.5323424327374742;1.0;;;0.4867252020827415;0.0401539152692833;Laborbuch_Papier;0.1;0.002405;mm;0.235;4681026.478349999;0.08249812234390379;4
5;Nylon;0.5;0.002405;mm;3.182;0.000289;m;589;50;Hz;"Papier an Messseite leicht angerissen; BÃ¼roklammer ist leicht erkennbar";0.48832035728067985;1.0;;;0.4408986271963442;0.05114983458956762;Laborbuch_Papier;0.1;0.002405;mm;0.235;3301861.0546117593;0.116012687349079;3
6;Nylon;0.5;0.002405;mm;3.182;0.000289;m;265;50;Hz;Dropouts zwischen 15:30/15:40;0.5725769944318996;1.0;;;0.4604510348193386;0.0507145566903778;Laborbuch_Papier;0.1;0.002405;mm;0.235;668374.622926;0.11014104183797965;3
7;Nylon;0.5;0.002405;mm;3.182;0.000289;m;281;50;Hz;Lautsprecher EQ vergessen;0.4583802542534203;1.0;;;0.46792669476536664;0.04896869948160142;Laborbuch_Papier;0.1;0.002405;mm;0.235;751520.5211941599;0.10465036517345071;3
8;Nylon;0.99;0.002405;mm;3.99;0.000289;m;253;50;Hz;;0.7161270002783315;1.0;;;0.4857137071083577;0.04716566929998739;Laborbuch_Papier;0.1;0.002405;mm;0.605;2466051.827778;0.0971059054124351;4
9;Nylon;0.99;0.002405;mm;2.997;0.000289;m;320;50;Hz;Membran an Speakerseite VulkanfÃ¶rmig;0.4506155754662664;1.0;;;0.5038731568679988;0.04432820542412204;Laborbuch_Papier;0.1;0.002405;mm;0.605;2225813.686272;0.0879749294438696;3
10;Nylon;0.99;0.002405;mm;1.968;0.000289;m;387;50;Hz;Membran fast zerissen (Saurons Ampel);0.574595985042839;1.0;;;0.5190528038501319;0.04005270721130837;Laborbuch_Papier;0.1;0.002405;mm;0.605;1403742.61412352;0.0771649953804564;2
11;Nylon;0.35;0.002405;mm;2.109;0.000289;m;508;50;Hz;;0.5316362203128404;1.0;;;0.4791981573179124;0.04622613997957733;Laborbuch_Papier;0.1;0.002405;mm;0.118;541779.518245248;0.09646560462232687;2
12;Nylon;0.35;0.002405;mm;3.112;0.000289;m;293;50;Hz;LautstÃ¤rke des VerstÃ¤rkers erhÃ¶ht, da zu leise;0.26656932670071676;1.0;;;0.5142117603160868;0.04059160885281324;Laborbuch_Papier;0.1;0.002405;mm;0.118;392424.773228032;0.07893947977358881;3
13;Kupfer;0.35;0.002405;mm;4.115;0.000289;m;216;50;Hz;LautstÃ¤rke des VerstÃ¤rkers erhÃ¶ht, da zu leise;0.26773390047718737;1.0;;;0.48053072405369257;0.06309311882997697;Laborbuch_Papier;0.1;0.002405;mm;4.487;14179575.920428801;0.13129882372084745;4
